"","time","shake_mean","max_magnitude","from_2_to_3_9","from_4_to_5_9","from_6_to_6_9","from_7_to_7_9","from_8_to_8_9","from_9_to_10"
"1","2016-10-24",2.3,3,9,0,0,0,0,0
"2","2016-10-25",2.1,2.2,7,0,0,0,0,0
"3","2016-10-26",2.7,5.9,123,3,0,0,0,0
"4","2016-10-27",2.4,4.4,353,4,0,0,0,0
"5","2016-10-28",2.3,3.8,279,0,0,0,0,0
"6","2016-10-29",2.3,4.2,132,1,0,0,0,0
"7","2016-10-30",3,6.5,348,16,1,0,0,0
"8","2016-10-31",2.5,4.2,462,2,0,0,0,0
"9","2016-11-01",2.4,4.8,352,1,0,0,0,0
"10","2016-11-02",2.3,3.7,317,0,0,0,0,0
"11","2016-11-03",2.3,4.7,325,1,0,0,0,0
